iter	F1	Logloss
0	0.6476636821	0.6930606246
1	0.7247640077	0.6928028444
2	0.7311064103	0.6926223445
3	0.7498988355	0.6924985982
4	0.755989469	0.6923671613
5	0.7611410878	0.6922892653
6	0.771169497	0.6921934031
7	0.7606227686	0.692103269
8	0.7529318354	0.6919652512
9	0.7539482947	0.6919286362
10	0.7507809334	0.6918785934
11	0.7555702959	0.6916480608
12	0.7434104374	0.691579572
13	0.7610475683	0.6914297835
14	0.7701837268	0.6912184429
15	0.7732864057	0.6910729906
16	0.7748177905	0.6910578659
17	0.7630590446	0.6909916424
18	0.7625551794	0.6909427081
19	0.7580501596	0.6908577221
20	0.7798677934	0.6906879302
21	0.7870728637	0.6905528064
22	0.7830887073	0.6904686481
23	0.7825666052	0.6904657148
24	0.7593128473	0.6904052434
25	0.7722438527	0.6902843917
26	0.776869097	0.6901210414
27	0.7763552528	0.690029469
28	0.776869097	0.6900055308
29	0.7850007229	0.6899680172
30	0.7989149786	0.6898449932
31	0.7989149786	0.6898142595
32	0.7808890022	0.6897651681
33	0.7803780637	0.68975368
34	0.7773264188	0.6895172114
35	0.7737961944	0.6893317033
36	0.7748015537	0.6893142945
37	0.7763145007	0.6892810249
38	0.7788492521	0.6891191218
39	0.7742985477	0.6890640231
40	0.7838077363	0.6889930206
41	0.7963299516	0.6888990074
42	0.8004740662	0.6887822061
43	0.7994339992	0.6887510488
44	0.7977415618	0.6886869906
45	0.7998480768	0.6886134025
46	0.8036105685	0.6884562694
47	0.8046615386	0.6882795755
48	0.7940817369	0.6882174409
49	0.7951239701	0.6881348357
50	0.7870728637	0.6880377823
51	0.7881130418	0.6879162528
52	0.7951239701	0.6878256995
53	0.8003764449	0.6876125061
54	0.7907255554	0.6875003714
55	0.7875926093	0.6874523117
56	0.7865538036	0.687381308
57	0.7829394643	0.6872405117
58	0.7808890022	0.6871532639
59	0.7814006102	0.6870822281
60	0.7697366074	0.6870194928
61	0.7788492521	0.6869131921
62	0.7788492521	0.6867998413
63	0.7803780637	0.6867328181
64	0.7803780637	0.6865843717
65	0.7803780637	0.686408767
66	0.7858412129	0.6863121246
67	0.7778333678	0.6862726731
68	0.7808890022	0.6861431644
69	0.7894253014	0.6860151281
70	0.781912889	0.6859148965
71	0.7829394643	0.6858700732
72	0.7899399845	0.6856984715
73	0.7878852681	0.6855867381
74	0.7947869496	0.6855718557
75	0.7942739436	0.6855701222
76	0.7942739436	0.6855397289
77	0.7953006188	0.6854403017
78	0.7947869496	0.6853757015
79	0.7889112884	0.6851848743
80	0.7889112884	0.6851788515
81	0.7956461133	0.684944738
82	0.7993204057	0.6847319596
83	0.8003764449	0.6847190296
84	0.7928280701	0.6846990055
85	0.8019657461	0.6846059136
86	0.8019657461	0.6845997238
87	0.7949417957	0.6844676219
88	0.7960028906	0.6843095777
89	0.7960028906	0.6843013324
90	0.8062349042	0.6841117528
91	0.8083865735	0.6839996733
92	0.8078475802	0.6839566592
93	0.8083865735	0.6838563636
94	0.8083865735	0.6838355036
95	0.8040523084	0.6837290983
96	0.816406287	0.6836529523
97	0.816406287	0.6836185836
98	0.8142454445	0.6835719495
99	0.816406287	0.6833272019
100	0.8174910148	0.6832784064
101	0.8180344604	0.6831751037
102	0.816406287	0.6830828517
103	0.8158650019	0.6829698676
104	0.8158650019	0.6829399806
105	0.8142454445	0.6828193144
106	0.814784582	0.6827537385
107	0.8142454445	0.6827443253
108	0.8169482908	0.6826249808
109	0.816406287	0.6824867538
110	0.8158650019	0.6824695967
111	0.8158650019	0.6824695965
112	0.8126323042	0.6823066246
113	0.8137070199	0.682200678
114	0.8120960102	0.6820610121
115	0.8137070199	0.6820055871
116	0.8169482908	0.6818898131
117	0.8169482908	0.6818815413
118	0.816406287	0.6817716629
119	0.8180344604	0.6815769147
120	0.818578629	0.6815574653
121	0.818578629	0.6813743039
122	0.819123522	0.6813291734
123	0.8207625623	0.6812306432
124	0.8213103677	0.6812064827
125	0.8121797594	0.6811607722
126	0.812724551	0.68114333
127	0.8105497582	0.6810271321
128	0.8116356977	0.6809423297
129	0.8121797594	0.680869929
130	0.8149110456	0.680621581
131	0.8154595087	0.6804841806
132	0.8171093367	0.6804117848
133	0.8171093367	0.6803197681
134	0.8165586528	0.6802291466
135	0.8160087106	0.6801254954
136	0.8149110456	0.6799852674
137	0.8143633197	0.6799349361
138	0.8138163297	0.6797801129
139	0.8154595087	0.6796986572
140	0.8154595087	0.6796986571
141	0.8149110456	0.6796399046
142	0.8229581802	0.6795663591
143	0.8251655765	0.6794435498
144	0.8240604001	0.6794095051
145	0.824612618	0.679320422
146	0.824612618	0.6791438893
147	0.8240604001	0.6790190905
148	0.8257192771	0.6789332073
149	0.8257192771	0.6788776756
150	0.8251655765	0.6787297866
151	0.8240604001	0.6785105402
152	0.8240604001	0.6784907639
153	0.8235089213	0.6783796324
154	0.8240604001	0.6783150139
155	0.8229581802	0.6782702015
156	0.8224081752	0.6782347392
157	0.8240604001	0.678073749
158	0.8229581802	0.6780045964
159	0.8251655765	0.6779902506
160	0.8229581802	0.6778889431
161	0.8224081752	0.6778236345
162	0.824612618	0.6777128027
163	0.8218589048	0.6776057182
164	0.8213103677	0.6774722098
165	0.8224081752	0.677332739
166	0.8143633197	0.6772479548
167	0.8213103677	0.6771059847
168	0.8213103677	0.6770431224
169	0.8207625623	0.6769474996
170	0.8213103677	0.6767515996
171	0.8149110456	0.6765181199
172	0.8224081752	0.6765001422
173	0.8240604001	0.6763626625
174	0.8160087106	0.6763061495
175	0.8229581802	0.6762428849
176	0.8229581802	0.6762201388
177	0.8229581802	0.6761269592
178	0.8224081752	0.6761172645
179	0.8218589048	0.675974331
180	0.8213103677	0.6758907656
181	0.8218589048	0.6757943655
182	0.8218589048	0.6757525998
183	0.8218589048	0.6757223939
184	0.8218589048	0.6756511428
185	0.8240604001	0.6755524233
186	0.8251655765	0.6754412362
187	0.824612618	0.6753948719
188	0.824612618	0.6753513527
189	0.824612618	0.6753495648
190	0.8149110456	0.6752695618
191	0.8149110456	0.675177048
192	0.8149110456	0.6751751937
193	0.8138163297	0.6750487058
194	0.8229581802	0.6749646208
195	0.8229581802	0.6748501577
196	0.8240604001	0.6746251576
197	0.8154595087	0.6744443448
198	0.8160087106	0.6743497513
199	0.8154595087	0.674234894
200	0.8154595087	0.674217177
201	0.8149110456	0.6740862251
