iter	Passed	Remaining
0	25	25542
1	57	28721
2	90	30211
3	120	29902
4	149	29679
5	178	29562
6	207	29439
7	238	29561
8	267	29411
9	281	27888
10	291	26205
11	325	26797
12	355	26988
13	384	27057
14	414	27218
15	444	27343
16	459	26544
17	477	26071
18	505	26109
19	524	25694
20	552	25748
21	581	25860
22	613	26056
23	630	25644
24	646	25225
25	676	25336
26	708	25527
27	738	25650
28	762	25532
29	785	25383
30	812	25411
31	833	25201
32	843	24730
33	853	24259
34	881	24316
35	910	24373
36	925	24076
37	948	24012
38	977	24089
39	996	23925
40	1027	24042
41	1064	24275
42	1109	24683
43	1133	24635
44	1193	25318
45	1230	25527
46	1266	25671
47	1299	25767
48	1315	25522
49	1345	25562
50	1375	25587
51	1405	25627
52	1435	25657
53	1464	25659
54	1479	25422
55	1490	25121
56	1511	25007
57	1540	25014
58	1569	25034
59	1588	24892
60	1603	24676
61	1630	24673
62	1660	24690
63	1688	24701
64	1719	24729
65	1748	24743
66	1777	24756
67	1807	24771
68	1839	24816
69	1869	24841
70	1898	24839
71	1927	24841
72	1956	24848
73	1975	24722
74	1989	24538
75	1998	24303
76	2012	24129
77	2041	24133
78	2071	24146
79	2100	24153
80	2110	23950
81	2140	23967
82	2169	23973
83	2180	23779
84	2195	23630
85	2223	23636
86	2238	23491
87	2267	23495
88	2296	23502
89	2307	23332
90	2343	23411
91	2381	23507
92	2413	23537
93	2449	23613
94	2474	23569
95	2508	23624
96	2541	23661
97	2572	23674
98	2584	23517
99	2615	23536
100	2648	23575
101	2680	23595
102	2714	23641
103	2746	23661
104	2760	23532
105	2794	23571
106	2831	23627
107	2847	23520
108	2880	23543
109	2913	23570
110	2924	23423
111	2932	23247
112	2965	23274
113	2997	23300
114	3033	23346
115	3069	23389
116	3104	23431
117	3118	23310
118	3153	23343
119	3188	23385
120	3213	23341
121	3247	23369
122	3283	23408
123	3318	23445
124	3369	23587
125	3385	23481
126	3409	23439
127	3440	23439
128	3481	23510
129	3522	23570
130	3561	23625
131	3591	23616
132	3619	23593
133	3649	23583
134	3673	23535
135	3701	23516
136	3736	23536
137	3765	23521
138	3797	23521
139	3828	23518
140	3834	23360
141	3857	23307
142	3884	23279
143	3912	23256
144	3940	23237
145	3968	23214
146	3997	23193
147	4026	23176
148	4054	23158
149	4083	23141
150	4113	23127
151	4142	23111
152	4158	23018
153	4181	22970
154	4210	22954
155	4225	22860
156	4240	22766
157	4268	22748
158	4299	22739
159	4309	22626
160	4346	22651
161	4376	22637
162	4405	22624
163	4435	22609
164	4464	22591
165	4492	22572
166	4520	22550
167	4549	22528
168	4563	22437
169	4592	22423
170	4621	22404
171	4648	22379
172	4659	22272
173	4686	22249
174	4705	22182
175	4723	22114
176	4732	22006
177	4760	21984
178	4774	21899
179	4801	21874
180	4831	21859
181	4849	21796
182	4876	21772
183	4899	21727
184	4926	21704
185	4954	21681
186	4981	21659
187	4996	21580
188	5006	21482
189	5021	21407
190	5040	21347
191	5068	21331
192	5083	21257
193	5112	21239
194	5141	21226
195	5171	21214
196	5200	21198
197	5229	21182
198	5258	21165
199	5288	21152
200	5298	21063
201	5333	21070
