iter	F1	Logloss
0	0.7097529211	0.6930188409
1	0.7539267048	0.6926459984
2	0.7549084523	0.6924949351
3	0.7739818458	0.6922354181
4	0.7768710003	0.6919505804
5	0.7680706302	0.6918511958
6	0.7685512398	0.6916441093
7	0.7647231206	0.6915825273
8	0.7695142656	0.6913734294
9	0.774365824	0.6912376185
10	0.7822568588	0.6910142576
11	0.7822568588	0.6909684296
12	0.7782913403	0.6908183196
13	0.7773062348	0.6906769193
14	0.7782913403	0.6905021545
15	0.7777984756	0.6903657529
16	0.7792789459	0.6901794261
17	0.7777984756	0.6898759492
18	0.7768146166	0.6897769066
19	0.7758332434	0.6896956093
20	0.775343486	0.6896113151
21	0.7817589605	0.6893274032
22	0.7812616956	0.6893037395
23	0.7807650629	0.6892438059
24	0.77878483	0.6891331624
25	0.77878483	0.6889468007
26	0.7773062348	0.6888694662
27	0.77878483	0.6888345894
28	0.7782913403	0.688633852
29	0.7673792823	0.6884872629
30	0.7654339427	0.6884237436
31	0.7644649669	0.6882526724
32	0.7644649669	0.6882438614
33	0.7644649669	0.6880321093
34	0.7714475756	0.6879025744
35	0.7673792823	0.6877052511
36	0.7693345353	0.6874752107
37	0.7703159029	0.6872920489
38	0.7673792823	0.6871773067
39	0.7693345353	0.6869529446
40	0.7742665388	0.6867944058
41	0.7708075262	0.6867172515
42	0.7597967279	0.6866323198
43	0.7683556649	0.6865515857
44	0.7673792823	0.686468192
45	0.7747632193	0.6862146152
46	0.7747632193	0.6860401313
47	0.7742665388	0.6859823018
48	0.7737704946	0.68579687
49	0.7822568588	0.6857271319
50	0.7807650629	0.6855587254
51	0.7797736892	0.6854575826
52	0.7757584945	0.6852499748
53	0.7752605375	0.6849655985
54	0.7772562111	0.6849111038
55	0.7762570916	0.6848237482
56	0.7752605375	0.6847054886
57	0.7757584945	0.6845177347
58	0.7717926578	0.6844608058
59	0.7737704946	0.6843440758
60	0.7747632193	0.6842235773
61	0.7732750857	0.684148615
62	0.7722861685	0.6839846381
63	0.7560027469	0.6838972838
64	0.7564928902	0.6837352669
65	0.7560027469	0.6837119769
66	0.7637065373	0.6836849833
67	0.7550243634	0.6835684324
68	0.7540485089	0.6835122215
69	0.7530751737	0.6834185926
70	0.7550243634	0.6833196107
71	0.7550243634	0.6832693255
72	0.7550243634	0.6830155767
73	0.7545361206	0.6828923159
74	0.7550243634	0.6828591929
75	0.7540485089	0.6827715548
76	0.7540485089	0.6827461798
77	0.7540485089	0.6826905623
78	0.7540485089	0.6826320245
79	0.7540485089	0.6825225679
80	0.753561527	0.6824167758
81	0.753561527	0.6823839209
82	0.7525894478	0.6822284813
83	0.753561527	0.6821495452
84	0.7525894478	0.682062855
85	0.7525894478	0.6819793622
86	0.7516198733	0.6819239075
87	0.7506527938	0.6818423645
88	0.7511360223	0.6818362338
89	0.7501701867	0.6816456322
90	0.7501701867	0.6815663704
91	0.7501701867	0.6814997481
92	0.7496881998	0.6814767797
93	0.7487260815	0.6814224697
94	0.7492068318	0.6812997283
95	0.7496881998	0.6811305395
96	0.7496881998	0.6811056504
97	0.7492068318	0.6810452691
