iter	Passed	Remaining
0	20	4164
1	42	4175
2	67	4417
3	91	4503
4	116	4524
5	129	4179
6	153	4220
7	162	3889
8	186	3955
9	210	4003
10	238	4097
11	264	4139
12	288	4150
13	312	4147
14	336	4145
15	360	4143
16	384	4140
17	408	4133
18	433	4125
19	455	4097
20	479	4085
21	502	4069
22	519	3997
23	528	3874
24	551	3861
25	575	3852
26	591	3792
27	611	3757
28	635	3746
29	659	3734
30	683	3725
31	708	3718
32	717	3632
33	741	3622
34	766	3612
35	790	3600
36	814	3586
37	838	3575
38	858	3545
39	883	3532
40	906	3516
41	926	3486
42	950	3470
43	975	3457
44	999	3444
45	1026	3436
46	1051	3422
47	1062	3363
48	1094	3372
49	1125	3376
50	1156	3379
51	1175	3346
52	1202	3334
53	1231	3330
54	1245	3284
55	1259	3237
56	1284	3221
57	1307	3202
58	1316	3146
59	1340	3127
60	1360	3100
61	1384	3081
62	1408	3062
63	1428	3034
64	1452	3016
65	1468	2981
66	1484	2947
67	1509	2930
68	1519	2884
69	1544	2867
70	1569	2851
71	1586	2820
72	1611	2803
73	1631	2778
74	1640	2734
75	1660	2708
76	1672	2672
77	1681	2630
78	1694	2596
79	1714	2572
80	1731	2543
81	1739	2503
82	1763	2486
83	1787	2468
84	1803	2440
85	1823	2417
86	1836	2385
87	1852	2358
88	1861	2321
89	1885	2303
90	1908	2286
91	1921	2255
92	1930	2220
93	1939	2186
94	1962	2168
95	1982	2147
96	1998	2122
97	2014	2096
98	2038	2079
99	2063	2063
100	2072	2031
101	2097	2014
102	2109	1986
103	2118	1955
104	2134	1931
105	2158	1914
106	2171	1886
107	2194	1869
108	2218	1852
109	2230	1825
110	2254	1807
111	2267	1781
112	2291	1764
113	2315	1746
114	2339	1729
115	2363	1711
116	2379	1688
117	2403	1670
118	2419	1646
119	2442	1628
120	2451	1600
121	2460	1573
122	2483	1554
123	2503	1534
124	2519	1511
125	2539	1491
126	2551	1466
127	2575	1448
128	2599	1430
129	2623	1412
130	2635	1388
131	2659	1369
132	2675	1347
133	2699	1329
134	2719	1309
135	2736	1287
136	2756	1267
137	2779	1248
138	2802	1230
139	2826	1211
140	2836	1186
141	2859	1168
142	2884	1149
143	2896	1126
144	2916	1106
145	2936	1086
146	2948	1063
147	2972	1044
148	2989	1023
149	3013	1004
150	3033	984
151	3060	966
152	3084	947
153	3105	927
154	3118	905
155	3141	886
156	3150	862
157	3155	838
158	3168	817
159	3192	798
160	3216	779
161	3232	758
162	3252	738
163	3272	718
164	3288	697
165	3297	675
166	3306	653
167	3331	634
168	3355	615
169	3380	596
170	3404	577
171	3421	556
172	3444	537
173	3464	517
174	3484	497
175	3504	477
176	3528	458
177	3551	438
178	3575	419
179	3588	398
180	3611	379
181	3620	358
182	3644	338
183	3657	318
184	3681	298
185	3705	278
186	3718	258
187	3741	238
188	3765	219
189	3785	199
190	3797	178
191	3810	158
192	3819	138
193	3843	118
194	3866	99
195	3882	79
196	3895	59
197	3907	39
198	3920	19
199	3943	0
